epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3044.57,1.85371,2.18706,1.40063,0.3736,0.41417,0.33978,0.14383,1.85588,2.01103,1.47744,0.000368253,0.000368253,0.000368253
2,6187.16,1.79829,1.76546,1.35544,0.4064,0.44241,0.36521,0.15423,1.85971,1.97722,1.41928,0.000634129,0.000634129,0.000634129
3,9294.97,1.78213,1.70774,1.34128,0.38378,0.48657,0.39223,0.17366,1.77277,1.7985,1.36436,0.000795254,0.000795254,0.000795254
4,12410.4,1.73716,1.61016,1.32692,0.42612,0.50855,0.44482,0.19911,1.79011,1.77188,1.36824,0.000639619,0.000639619,0.000639619
5,15481.6,1.68073,1.51439,1.2876,0.49242,0.56116,0.52261,0.24444,1.71509,1.55142,1.32418,0.000482491,0.000482491,0.000482491
6,18545.4,1.65613,1.44146,1.28032,0.50834,0.55956,0.51634,0.24872,1.6636,1.5264,1.29762,0.000325364,0.000325364,0.000325364
7,21646.7,1.60232,1.32107,1.24854,0.60382,0.57933,0.59393,0.28966,1.65352,1.34866,1.28343,0.000168237,0.000168237,0.000168237
