epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3090.85,1.84963,2.1744,1.39995,0.37458,0.45771,0.36856,0.16124,1.79913,2.45871,1.44197,0.000368253,0.000368253,0.000368253
2,6150.81,1.78522,1.75895,1.35227,0.39346,0.40293,0.29716,0.12836,1.86922,2.11276,1.42524,0.000634129,0.000634129,0.000634129
3,9155,1.77976,1.68773,1.34332,0.36503,0.48771,0.38667,0.16752,1.81031,2.15073,1.41601,0.000795254,0.000795254,0.000795254
4,12148.6,1.74058,1.61104,1.32878,0.45136,0.47066,0.43076,0.19041,1.81985,1.84981,1.38732,0.000639619,0.000639619,0.000639619
5,15183.6,1.68273,1.50117,1.29002,0.51311,0.55562,0.51679,0.23806,1.73801,1.51039,1.3513,0.000482491,0.000482491,0.000482491
6,18197.3,1.65862,1.43182,1.28129,0.51693,0.56059,0.5236,0.25353,1.66,1.48456,1.29969,0.000325364,0.000325364,0.000325364
7,21213.7,1.6022,1.31123,1.24958,0.59715,0.57518,0.5863,0.28668,1.65394,1.33868,1.29211,0.000168237,0.000168237,0.000168237
