epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3174.71,1.85612,2.1951,1.39759,0.3493,0.42632,0.32255,0.13919,1.82885,2.91905,1.44939,0.000368253,0.000368253,0.000368253
2,6328.55,1.79382,1.76077,1.35343,0.41107,0.45179,0.36236,0.15693,1.84085,2.217,1.41476,0.000634129,0.000634129,0.000634129
3,9408.29,1.78583,1.69961,1.34801,0.42205,0.50634,0.41709,0.18188,1.75822,2.04798,1.37692,0.000795254,0.000795254,0.000795254
4,12491.9,1.74165,1.60772,1.32867,0.42021,0.50084,0.43909,0.19715,1.80682,1.80946,1.38187,0.000639619,0.000639619,0.000639619
5,15572.8,1.6806,1.51272,1.28246,0.50927,0.55284,0.51104,0.24031,1.71492,1.53919,1.33747,0.000482491,0.000482491,0.000482491
6,18624.1,1.65542,1.44332,1.27752,0.5153,0.55848,0.52744,0.25171,1.67717,1.5112,1.308,0.000325364,0.000325364,0.000325364
7,21723.5,1.60019,1.32037,1.24712,0.56022,0.59636,0.58499,0.28156,1.66626,1.35973,1.29146,0.000168237,0.000168237,0.000168237
