epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3111.54,1.85058,2.18911,1.39694,0.4149,0.40081,0.34927,0.1548,1.82093,2.0571,1.48376,0.000368253,0.000368253,0.000368253
2,6173.74,1.78247,1.76126,1.35024,0.41225,0.49741,0.37868,0.1595,1.8186,2.10225,1.39514,0.000634129,0.000634129,0.000634129
3,9231.56,1.77911,1.68851,1.34206,0.38783,0.44163,0.37219,0.15176,1.85543,2.08495,1.43158,0.000795254,0.000795254,0.000795254
4,12258.8,1.73939,1.61113,1.32691,0.44517,0.48619,0.42553,0.189,1.80851,1.86326,1.39491,0.000639619,0.000639619,0.000639619
5,15307,1.6846,1.50629,1.28573,0.46017,0.52778,0.4791,0.22579,1.73706,1.68124,1.35439,0.000482491,0.000482491,0.000482491
6,18348,1.6556,1.43564,1.277,0.50112,0.53637,0.49987,0.2402,1.69267,1.58169,1.31436,0.000325364,0.000325364,0.000325364
7,21357.9,1.59928,1.31836,1.24682,0.5661,0.58585,0.58266,0.28544,1.64538,1.35069,1.28678,0.000168237,0.000168237,0.000168237
