epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3055.63,1.85642,2.17066,1.39423,0.37395,0.41083,0.31002,0.13354,1.93299,2.34882,1.49752,0.000368253,0.000368253,0.000368253
2,6146.3,1.8061,1.7686,1.3625,0.36341,0.4041,0.31849,0.13706,1.85429,3.10398,1.46107,0.000634129,0.000634129,0.000634129
3,9187.32,1.77544,1.70798,1.34318,0.38584,0.54111,0.41596,0.18738,1.76608,2.34242,1.39409,0.000795254,0.000795254,0.000795254
4,12218.1,1.74491,1.61917,1.31655,0.43316,0.51713,0.44169,0.19788,1.76313,1.7285,1.35858,0.000639619,0.000639619,0.000639619
5,15240.5,1.68434,1.52181,1.28983,0.51518,0.54088,0.52454,0.24522,1.70905,1.50896,1.31483,0.000482491,0.000482491,0.000482491
6,18311.3,1.64526,1.43566,1.26467,0.57341,0.56727,0.55373,0.26532,1.69809,1.38033,1.30939,0.000325364,0.000325364,0.000325364
7,21369,1.6137,1.34102,1.23769,0.57534,0.60285,0.59693,0.29033,1.6486,1.33766,1.28103,0.000168237,0.000168237,0.000168237
