epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3180.27,1.84883,2.19068,1.40758,0.39981,0.41526,0.34868,0.14907,1.83259,2.18601,1.47027,0.000368253,0.000368253,0.000368253
2,6350.02,1.78958,1.74918,1.35895,0.40585,0.44673,0.34535,0.14767,1.84517,2.0451,1.433,0.000634129,0.000634129,0.000634129
3,9444.11,1.77566,1.69408,1.34671,0.41637,0.4609,0.37794,0.16048,1.80788,2.04133,1.40816,0.000795254,0.000795254,0.000795254
4,12540.2,1.73548,1.60194,1.32702,0.44288,0.51457,0.43283,0.19014,1.79791,1.72207,1.37816,0.000639619,0.000639619,0.000639619
5,15677.3,1.68297,1.51426,1.29326,0.49461,0.53325,0.48721,0.22414,1.74699,1.53148,1.36263,0.000482491,0.000482491,0.000482491
6,18787.6,1.65098,1.43051,1.28019,0.50496,0.56066,0.5213,0.251,1.67967,1.52862,1.31594,0.000325364,0.000325364,0.000325364
7,21894.8,1.60046,1.31123,1.25299,0.55027,0.60665,0.57842,0.27914,1.66128,1.34983,1.29826,0.000168237,0.000168237,0.000168237
