epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3774.61,1.88518,2.29065,1.44939,0.41526,0.4516,0.37225,0.15789,1.8486,2.05919,1.44021,0.000368253,0.000368253,0.000368253
2,7581.57,1.84031,1.79185,1.41986,0.28027,0.36199,0.23195,0.09718,1.89295,2.61883,1.4571,0.000665466,0.000665466,0.000665466
3,11319.3,1.82126,1.74256,1.41974,0.40083,0.47581,0.37955,0.16364,1.8374,1.92597,1.41478,0.000889353,0.000889353,0.000889353
4,15068.3,1.78292,1.6448,1.37158,0.46745,0.51804,0.44145,0.1956,1.80029,1.77637,1.37154,0.000781033,0.000781033,0.000781033
5,18811.7,1.74477,1.57782,1.3468,0.51498,0.53664,0.50186,0.23312,1.72064,1.54132,1.33091,0.000671044,0.000671044,0.000671044
6,22568.7,1.71299,1.47429,1.3307,0.50232,0.54589,0.51086,0.23447,1.71712,1.50659,1.3254,0.000561055,0.000561055,0.000561055
7,26311.6,1.67997,1.41809,1.31333,0.54568,0.54792,0.53592,0.2535,1.70464,1.4726,1.31564,0.000451066,0.000451066,0.000451066
8,30043.4,1.65022,1.32724,1.29371,0.59019,0.56937,0.58586,0.28204,1.67327,1.36233,1.29446,0.000341077,0.000341077,0.000341077
9,33756.8,1.60743,1.27109,1.2655,0.59032,0.59982,0.60246,0.29536,1.64824,1.34591,1.28516,0.000231088,0.000231088,0.000231088
10,37450.2,1.58391,1.20074,1.25154,0.616,0.61176,0.6175,0.30403,1.63089,1.27673,1.27404,0.000121099,0.000121099,0.000121099
