epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3003.94,1.85491,2.17073,1.38829,0.38302,0.47791,0.36734,0.15776,1.82178,2.01173,1.43237,0.000368253,0.000368253,0.000368253
2,6067.99,1.80489,1.77001,1.3592,0.39282,0.503,0.39502,0.16835,1.80966,1.9579,1.38948,0.000634129,0.000634129,0.000634129
3,9088.15,1.77201,1.68986,1.33914,0.40378,0.49878,0.4148,0.18239,1.75719,2.0214,1.37412,0.000795254,0.000795254,0.000795254
4,12094.8,1.72531,1.61122,1.31311,0.43124,0.51786,0.46801,0.21326,1.74432,1.72644,1.3441,0.000639619,0.000639619,0.000639619
5,15120,1.69425,1.52895,1.29674,0.48285,0.56082,0.51824,0.24158,1.70779,1.55216,1.31543,0.000482491,0.000482491,0.000482491
6,18170.9,1.64606,1.45217,1.26603,0.55297,0.573,0.55164,0.26716,1.67957,1.42746,1.3035,0.000325364,0.000325364,0.000325364
7,21183.8,1.6158,1.34651,1.23752,0.58602,0.58548,0.58907,0.28769,1.64525,1.36,1.27358,0.000168237,0.000168237,0.000168237
