epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3891.29,1.8566,2.18157,1.40192,0.37646,0.43162,0.33323,0.14362,1.90551,2.6954,1.48161,0.000368253,0.000368253,0.000368253
2,7786.97,1.79183,1.75271,1.35604,0.42383,0.45227,0.36294,0.15465,1.89033,1.89552,1.42953,0.000634129,0.000634129,0.000634129
3,11664.6,1.77897,1.69175,1.34067,0.41329,0.45555,0.39503,0.16731,1.80391,2.01932,1.40245,0.000795254,0.000795254,0.000795254
4,15496.4,1.74117,1.60609,1.32638,0.4936,0.45944,0.43923,0.19587,1.76928,1.79091,1.35413,0.000639619,0.000639619,0.000639619
5,18805.7,1.68409,1.50626,1.28829,0.50326,0.57056,0.52379,0.24474,1.70928,1.50407,1.33182,0.000482491,0.000482491,0.000482491
6,22246.6,1.65648,1.43634,1.28114,0.54822,0.54985,0.5375,0.25987,1.68876,1.51375,1.30427,0.000325364,0.000325364,0.000325364
7,25473.5,1.59961,1.32072,1.24777,0.5851,0.60368,0.59885,0.28856,1.65897,1.33839,1.29349,0.000168237,0.000168237,0.000168237
